street	direction	cross_street	offset_feet	offset_direction	offset_from	location_detail	notes	source_text
Commonwealth Avenue, North Drive	eastbound	Temple Street						Commonwealth Avenue, North Drive at Temple Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Temple Street						Commonwealth Avenue, North Drive at Temple Street, westbound.
Commonwealth Avenue, North Drive	eastbound	Valentine Street						Commonwealth Avenue, North Drive at Valentine Street, eastbound.
Commonwealth Avenue, North Drive	westbound	Valentine Street						Commonwealth Avenue, North Drive at Valentine Street, westerly.
Commonwealth Avenue, North Drive	eastbound	Wauwinet Road						Commonwealth Avenue, North Drive at Wauwinet Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Wauwinet Road						Commonwealth Avenue, North Drive at Wauwinet Road, westbound.
Commonwealth Avenue, North Drive	westbound		382	west	Westbourne Road			Commonwealth Avenue, North Drive at a point 382 feet west of Westbourne Road, westerly.
Commonwealth Avenue, North Drive	eastbound	Westbourne Road						Commonwealth Avenue, North Drive at Westbourne Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Westbourne Road						Commonwealth Avenue, North Drive at Westbourne Road, westerly.
Commonwealth Avenue, North Drive	eastbound	Wimbledon Circle						Commonwealth Avenue, North Drive at Wimbledon Circle, eastbound.
Commonwealth Avenue, North Drive	westbound	Wimbledon Circle						Commonwealth Avenue, North Drive at Wimbledon Circle, westbound.
Commonwealth Avenue, North Drive	eastbound	Windermere Road						Commonwealth Avenue, North Drive at Windermere Road, eastbound.
Commonwealth Avenue, North Drive	westbound	Windermere Road						Commonwealth Avenue, North Drive at Windermere Road, westbound.
Commonwealth Avenue, North Drive	westbound	Woodbine Street						Commonwealth Avenue, North Drive at Woodbine Street, westbound.
Commonwealth Avenue	northbound		253	west	Ransom Road	crossover from South Drive to North Drive		Commonwealth Avenue, northbound crossover from South Drive to North Drive, 253 feet west of Ransom Road.
Commonwealth Park	southbound	Commonwealth Avenue, South Drive						Commonwealth Park at Commonwealth Avenue, South Drive, southbound.
Commonwealth Park West	southbound	Commonwealth Avenue, North Drive						Commonwealth Park West at Commonwealth Avenue, North Drive, southbound.
Converse Avenue	eastbound	Centre Street						Converse Avenue at Centre Street, eastbound.
Cook Street	southbound	Green Street						Cook Street at Green Street, southbound.
Cook Street	northbound	Watertown Street						Cook Street at Watertown Street, northbound.
Coolidge Road	southbound	Ward Street						Coolidge Road at Ward Street, southbound.
Copley Street	southbound	Washington Street						Copley Street at Washington Street, southbound.
Corey Street	northbound	LaGrange Street						Corey Street and LaGrange Street, northbound.
Cornell Street	eastbound,westbound	Grove Street						Cornell Street at Grove Street, eastbound and westbound.
Cottage Street	eastbound	Elliot Street						Cottage Street at Elliot Street, eastbound.
Cotton Street	westbound	Centre Street						Cotton Street at Centre Street, westbound.
Cotton Street	eastbound,westbound	Park Avenue						Cotton Street at Park Avenue, eastbound and westbound.
Country Club Road	southbound	Dedham Street						Country Club Road at Dedham Street, southbound.
Country Club Road	northwestbound,southeastbound	Meadow Road						Country Club Road at Meadow Road, northwestbound and southeastbound.
Country Club Road	northbound,southeastbound	Rosalie Road						Country Club Road at Rosalie Road, northbound and southeastbound.
Countryside Road	eastbound	Dedham Street						Countryside Road at Dedham Street, eastbound.
Court Street	southbound	Washington Street						Court Street at Washington Street, southbound.
Crehore Drive	eastbound,westbound	Pierrepont Road					source reads 'to' where the list grammar elsewhere uses 'at'	Crehore Drive to Pierrepont Road, eastbound and westbound.
Crescent Avenue	northbound,southbound	Beacon Street						Crescent Avenue at Beacon Street, northbound and southbound.
Crescent Avenue	northbound,southbound	Norwood Avenue						Crescent Avenue at Norwood Avenue, northbound and southbound.
Crescent Avenue	northbound	Pleasant Street						Crescent Avenue at Pleasant Street, northbound.
Crescent Street	northbound	Robinhood Street						Crescent Street at Robinhood Street, northbound.
Crofton Road	northbound,southbound	Waban Avenue (both roadways)						Crofton Road at Waban Avenue (both roadways), northbound and southbound.
Crosby Road	northbound	Commonwealth Avenue						Crosby Road at Commonwealth Avenue, northbound.
Crosby Road	southbound	Hammond Street						Crosby Road at Hammond Street, southbound.
Cross Hill Road	northbound	Rosalie Road						Cross Hill Road at Rosalie Road, northbound.
Cross Street	southbound	Washington Street						Cross Street at Washington Street, southbound.
Curve Street	southbound	Auburn Street						Curve Street at Auburn Street, southbound.
Cushing Street	northbound	Allerton Road						Cushing Street at Allerton Road, northbound.
Cushing Street	southbound	Centre Street						Cushing Street at Centre Street, southbound.
Cypress Street	southbound	Jackson Street						Cypress Street at Jackson Street, southbound.
Cypress Street	northbound	Parker Street						Cypress Street at Parker Street, northbound.
Dalby Street	southbound	Watertown Street						Dalby Street at Watertown Street, southbound.
Dalton Road	northbound	Everett Street						Dalton Road at Everett Street, northbound.
Dana Road	westbound	Parmenter Road						Dana Road at Parmenter Road, westbound.
Daniel Street	eastbound	Jackson Street						Daniel Street at Jackson Street, eastbound.
